Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
20/10/2011,18.5,17.2,8,19,-20.7,21.7,245,5,4,0,7,6,3,14,8,No data,No data,No data,No data,12,8,No data,8,6,10,No data,14,12,9,9,13,No data,12,6,No data,10,10,7,11,14,7,9,10,No data,No data,16,12,10,8,No data,4,No data
21/10/2011,11.4,22.6,10.4,24.9,-2.8,24.9,245.2,15,6,0,4,5,3,11,7,No data,No data,No data,No data,14,7,No data,8,6,8,No data,13,14,8,13,14,No data,9,5,No data,10,8,7,6,15,5,10,12,4,No data,20,11,10,9,No data,2,No data
22/10/2011,5,11.1,22.1,24.8,8.9,25.2,206.7,15,11,7,8,9,11,16,13,No data,No data,No data,No data,16,13,No data,13,10,19,No data,18,22,14,15,18,No data,13,14,No data,15,16,12,11,13,12,14,19,11,No data,14,18,16,17,No data,11,19
23/10/2011,0.4,-0.9,27.2,27.2,20.9,29.2,178.1,14,18,8,11,11,12,15,12,No data,No data,No data,No data,16,14,No data,17,12,20,No data,17,19,13,16,17,No data,14,19,No data,18,16,13,12,16,15,13,15,13,No data,15,16,18,22,No data,13,23
24/10/2011,0.2,-4.6,24.1,24.5,52.9,36.1,169.2,20,24,16,13,13,15,13,11,No data,No data,No data,No data,14,23,No data,20,13,22,No data,16,17,11,16,16,No data,18,20,No data,21,18,12,6,16,18,12,15,16,No data,13,18,21,24,No data,16,26
25/10/2011,0.6,-3.9,16.3,16.7,38.9,25.7,166.5,20,23,5,10,5,8,8,5,No data,No data,No data,No data,7,14,No data,13,4,17,No data,12,10,5,9,9,No data,10,16,No data,15,11,6,6,6,11,4,7,9,No data,9,8,12,19,No data,7,17
26/10/2011,2.9,4.9,15.5,16.2,29.2,21.8,197.6,24,11,1,7,7,8,10,6,No data,No data,No data,No data,7,8,No data,10,7,17,No data,12,11,5,14,11,No data,10,15,No data,5,10,8,4,8,10,8,7,9,No data,10,6,14,17,No data,6,18
27/10/2011,7.8,8.1,5,9.6,12.6,11.4,238.5,25,7,3,6,12,8,16,11,No data,No data,No data,No data,11,8,No data,12,10,21,No data,15,16,9,17,14,No data,15,18,10,11,17,10,6,13,11,12,10,14,No data,15,10,19,21,No data,11,18
28/10/2011,10.4,14.2,17.9,22.9,-37.7,29.6,218.4,5,6,2,7,15,5,23,15,No data,No data,No data,No data,24,8,No data,12,12,18,No data,26,25,20,22,25,No data,10,9,10,16,20,14,12,21,9,16,21,11,No data,22,24,14,10,No data,6,16
29/10/2011,7.9,18.1,22.8,29.1,8.5,29.4,218.6,15,8,2,8,8,9,13,11,No data,No data,No data,No data,17,8,No data,13,9,18,No data,21,20,13,17,20,No data,10,13,8,18,13,11,6,13,10,13,18,10,No data,14,17,16,16,No data,8,19
30/10/2011,6.8,16.9,14.8,22.5,-13.6,23.5,228.8,15,6,2,7,5,9,10,7,No data,No data,No data,No data,13,8,No data,10,5,16,No data,12,11,6,10,11,No data,9,10,5,11,7,6,6,13,11,8,8,8,No data,9,9,11,12,No data,8,15
31/10/2011,3.3,14.1,23.7,27.5,10.2,28,210.8,15,10,2,9,6,6,12,9,No data,No data,No data,No data,10,7,No data,9,7,17,No data,16,16,10,11,13,No data,11,13,7,14,10,8,6,11,7,9,11,9,No data,12,12,12,16,No data,5,14
01/11/2011,0.1,13.9,13.7,19.5,-15.5,21,225.5,15,6,2,10,6,5,8,7,No data,No data,No data,No data,9,7,No data,12,7,16,No data,14,13,11,10,13,No data,9,9,6,14,10,9,4,9,9,8,11,8,No data,11,11,11,12,No data,6,12
02/11/2011,-5.3,-1,36.2,36.3,2.3,36.3,178.3,14,12,7,9,8,9,10,11,No data,No data,No data,No data,11,12,No data,12,8,20,No data,13,14,12,12,14,No data,10,17,8,14,12,10,9,11,10,10,9,9,No data,11,11,16,19,No data,10,13
03/11/2011,-9.4,-2.2,26.4,26.5,26.3,29.5,175.2,14,19,6,7,8,11,12,10,No data,No data,No data,No data,11,13,No data,13,8,19,No data,12,15,12,13,16,No data,12,18,6,15,13,10,6,12,11,11,9,11,No data,12,11,15,21,No data,11,14
04/11/2011,-5,8.7,7,11.1,24.9,16.7,231.3,20,19,3,13,16,11,21,12,No data,No data,No data,No data,8,12,No data,13,11,26,No data,18,13,12,10,14,No data,18,19,10,13,17,7,7,8,16,10,9,16,No data,10,9,23,23,No data,9,17
05/11/2011,8.2,2.8,-6.4,7,-18.9,11.7,336.7,0,31,7,22,35,18,47,21,No data,No data,No data,No data,25,28,No data,39,29,48,No data,32,32,28,31,32,No data,69,20,15,20,45,25,17,23,No data,23,24,60,No data,20,29,68,20,No data,13,32
